BLG, TES, JDG, FPX, NIP, iG, LNG, WBG, OMG, WE: 341
BLG, JDG, TES, FPX, NIP, iG, WE, LNG, AL, WBG: 337
BLG, TES, JDG, NIP, FPX, iG, WE, OMG, LNG, WBG: 337
BLG, JDG, TES, NIP, FPX, iG, WBG, LNG, WE, AL: 337
BLG, JDG, TES, FPX, NIP, LNG, iG, WBG, WE, AL: 335
BLG, TES, JDG, NIP, FPX, LNG, WBG, WE, OMG, iG: 332
BLG, TES, JDG, NIP, FPX, iG, LNG, OMG, WBG, WE: 329
BLG, JDG, TES, NIP, FPX, WE, iG, LNG, OMG, AL: 321
BLG, JDG, TES, NIP, FPX, iG, LNG, OMG, WE, AL: 320
BLG, TES, JDG, FPX, NIP, iG, LNG, OMG, WE, WBG: 314
BLG, JDG, TES, NIP, FPX, LNG, iG, WBG, OMG, WE: 313
BLG, TES, JDG, NIP, FPX, WE, WBG, LNG, iG, OMG: 312
BLG, TES, JDG, NIP, FPX, WE, WBG, iG, OMG, LNG: 308
BLG, JDG, TES, NIP, FPX, WE, WBG, iG, OMG, LNG: 299
BLG, TES, JDG, NIP, FPX, LNG, WBG, OMG, WE, iG: 296
BLG, TES, JDG, NIP, FPX, iG, WBG, WE, LNG, OMG: 295
BLG, JDG, TES, NIP, FPX, iG, WE, OMG, LNG, WBG: 294
BLG, TES, NIP, JDG, FPX, iG, LNG, WE, WBG, OMG: 289
BLG, TES, JDG, FPX, NIP, WE, iG, LNG, OMG, WBG: 289
BLG, JDG, TES, NIP, FPX, iG, WE, WBG, AL, LNG: 285
BLG, JDG, TES, NIP, FPX, WE, WBG, OMG, iG, LNG: 285
BLG, JDG, TES, NIP, FPX, iG, WE, AL, WBG, LNG: 284
BLG, JDG, NIP, TES, FPX, LNG, iG, WBG, WE, AL: 280
BLG, JDG, TES, NIP, FPX, iG, LNG, AL, WBG, WE: 277
BLG, JDG, TES, NIP, FPX, LNG, WBG, iG, OMG, AL: 274
BLG, JDG, NIP, TES, FPX, iG, WE, LNG, AL, WBG: 268
BLG, TES, JDG, FPX, NIP, WE, LNG, WBG, OMG, iG: 264
BLG, JDG, TES, NIP, FPX, iG, LNG, OMG, WBG, WE: 261
BLG, TES, JDG, FPX, NIP, WE, LNG, WBG, iG, OMG: 261
BLG, JDG, TES, NIP, FPX, iG, LNG, AL, WBG, OMG: 259
BLG, TES, JDG, NIP, FPX, iG, LNG, WE, AL, WBG: 258
BLG, JDG, TES, NIP, FPX, WE, iG, WBG, LNG, AL: 258
BLG, JDG, TES, NIP, iG, FPX, WE, LNG, AL, WBG: 241
BLG, TES, JDG, FPX, NIP, WE, WBG, LNG, OMG, iG: 239
BLG, TES, NIP, JDG, FPX, iG, WE, LNG, WBG, OMG: 239
BLG, JDG, TES, NIP, FPX, iG, WE, AL, LNG, WBG: 237
BLG, JDG, TES, NIP, FPX, iG, WBG, WE, LNG, OMG: 235
BLG, JDG, TES, NIP, FPX, LNG, iG, WBG, AL, OMG: 232
BLG, JDG, TES, NIP, FPX, LNG, WBG, OMG, iG, AL: 226
BLG, JDG, TES, NIP, FPX, LNG, iG, WBG, AL, WE: 216
BLG, TES, JDG, NIP, iG, FPX, LNG, WBG, WE, OMG: 209
BLG, JDG, TES, NIP, FPX, iG, WE, OMG, AL, LNG: 203
BLG, TES, NIP, JDG, FPX, LNG, iG, WBG, WE, OMG: 198
BLG, TES, JDG, FPX, NIP, LNG, iG, WBG, OMG, WE: 198
BLG, TES, JDG, FPX, NIP, iG, WE, OMG, LNG, WBG: 196
BLG, TES, JDG, FPX, NIP, WE, WBG, iG, OMG, LNG: 195
BLG, TES, JDG, NIP, FPX, iG, WE, OMG, WBG, LNG: 195
BLG, JDG, TES, NIP, FPX, WE, WBG, iG, OMG, AL: 195
BLG, JDG, TES, NIP, FPX, iG, LNG, OMG, AL, WBG: 195
BLG, TES, JDG, FPX, NIP, LNG, WBG, WE, OMG, iG: 194
BLG, TES, JDG, NIP, FPX, WE, iG, OMG, WBG, LNG: 188
BLG, JDG, TES, NIP, FPX, iG, WE, WBG, LNG, AL: 184
BLG, TES, JDG, FPX, NIP, iG, LNG, WE, AL, WBG: 183
BLG, JDG, TES, FPX, NIP, iG, WE, LNG, OMG, AL: 182
BLG, JDG, TES, NIP, FPX, WE, WBG, OMG, iG, AL: 181
BLG, TES, JDG, FPX, NIP, WE, WBG, OMG, iG, LNG: 178
BLG, JDG, TES, NIP, FPX, WBG, LNG, WE, OMG, iG: 169
BLG, JDG, TES, FPX, NIP, LNG, iG, WE, OMG, AL: 165
BLG, JDG, TES, NIP, FPX, iG, WE, OMG, WBG, LNG: 164
BLG, TES, JDG, NIP, FPX, WE, iG, LNG, WBG, OMG: 162
BLG, TES, JDG, FPX, NIP, iG, LNG, OMG, WBG, WE: 161
BLG, JDG, NIP, TES, FPX, iG, WE, LNG, OMG, AL: 159
BLG, JDG, TES, FPX, NIP, iG, LNG, WBG, WE, AL: 158
BLG, TES, JDG, FPX, iG, NIP, LNG, WE, WBG, OMG: 151
BLG, TES, JDG, FPX, NIP, LNG, WBG, OMG, WE, iG: 151
BLG, JDG, TES, FPX, NIP, iG, WE, LNG, WBG, AL: 149
BLG, TES, JDG, FPX, NIP, iG, WBG, WE, LNG, OMG: 149
BLG, TES, JDG, NIP, FPX, LNG, WBG, WE, iG, OMG: 143
BLG, JDG, TES, NIP, FPX, iG, WBG, WE, AL, LNG: 143
BLG, TES, JDG, FPX, NIP, WE, WBG, LNG, iG, OMG: 142
